Optimization Type,Method,Time
Interval,Bisection,0.0008046627044677
Interval,Bisection,0.0007743835449218
Interval,Bisection,0.0007705688476562
Interval,Bisection,0.0008771419525146
Interval,Bisection,0.0008702278137207
Interval,Bisection,0.0008745193481445
Interval,Bisection,0.0007987022399902
Interval,Bisection,0.0007848739624023
Interval,Bisection,0.0007848739624023
Interval,Bisection,0.0009655952453613
Interval,Bisection,0.0007922649383544
Interval,Bisection,0.0007882118225097
Interval,Bisection,0.0007808208465576
Interval,Bisection,0.001023530960083
Interval,Bisection,0.0010411739349365
Interval,Bisection,0.0008783340454101
Interval,Bisection,0.0008859634399414
Interval,Bisection,0.0009007453918457
Interval,Bisection,0.0011508464813232
Interval,Bisection,0.0011498928070068
Interval,Bisection,0.0011537075042724
Interval,Bisection,0.0013830661773681
Interval,Bisection,0.0014753341674804
Interval,Bisection,0.0015308856964111
Interval,Bisection,0.0011343955993652
Interval,Bisection,0.0011360645294189
Interval,Bisection,0.0012743473052978
Interval,Bisection,0.0013227462768554
Interval,Bisection,0.0014533996582031
Interval,Bisection,0.0005218982696533
Interval,Bisection,0.0004255771636962
Interval,Bisection,0.0004191398620605
Interval,Bisection,0.0005049705505371
Interval,Bisection,0.0005965232849121
Interval,Bisection,0.0007996559143066
Interval,Bisection,0.0008046627044677
Interval,Bisection,0.0007996559143066
Interval,Bisection,0.0009551048278808
Interval,Bisection,0.0009827613830566
Interval,Bisection,0.000983715057373
Interval,Bisection,0.000781774520874
Interval,Bisection,0.0007808208465576
Interval,Bisection,0.0007939338684082
Interval,Fibonacci,0.0008344650268554
Interval,Fibonacci,0.0008070468902587
Interval,Fibonacci,0.0008003711700439
Interval,Fibonacci,0.0009083747863769
Interval,Fibonacci,0.000894546508789
Interval,Fibonacci,0.0009267330169677
Interval,Fibonacci,0.0008320808410644
Interval,Fibonacci,0.0008018016815185
Interval,Fibonacci,0.0008137226104736
Interval,Fibonacci,0.0009856224060058
Interval,Fibonacci,0.0008201599121093
Interval,Fibonacci,0.0008249282836914
Interval,Fibonacci,0.0010576248168945
Interval,Fibonacci,0.0010805130004882
Interval,Fibonacci,0.0009026527404785
Interval,Fibonacci,0.0009112358093261
Interval,Fibonacci,0.0009100437164306
Interval,Fibonacci,0.0011670589447021
Interval,Fibonacci,0.0011816024780273
Interval,Fibonacci,0.0011746883392333
Interval,Fibonacci,0.0013985633850097
Interval,Fibonacci,0.0013928413391113
Interval,Fibonacci,0.0015418529510498
Interval,Fibonacci,0.0011637210845947
Interval,Fibonacci,0.0011546611785888
Interval,Fibonacci,0.0013301372528076
Interval,Fibonacci,0.0013401508331298
Interval,Fibonacci,0.0014359951019287
Interval,Fibonacci,0.0004606246948242
Interval,Fibonacci,0.0004372596740722
Interval,Fibonacci,0.0004448890686035
Interval,Fibonacci,0.0005302429199218
Interval,Fibonacci,0.000542402267456
Interval,Fibonacci,0.000812292098999
Interval,Fibonacci,0.0009334087371826
Interval,Fibonacci,0.00081467628479
Interval,Fibonacci,0.0009727478027343
Interval,Fibonacci,0.0009832382202148
Interval,Fibonacci,0.0009980201721191
Interval,Fibonacci,0.0008163452148437
Interval,Fibonacci,0.000807762145996
Interval,Fibonacci,0.0008347034454345
Interval,GoldenRatio,0.0008289813995361
Interval,GoldenRatio,0.0007979869842529
Interval,GoldenRatio,0.0009195804595947
Interval,GoldenRatio,0.0011477470397949
Interval,GoldenRatio,0.0009043216705322
Interval,GoldenRatio,0.000934362411499
Interval,GoldenRatio,0.0009446144104003
Interval,GoldenRatio,0.0008089542388916
Interval,GoldenRatio,0.0008103847503662
Interval,GoldenRatio,0.000981330871582
Interval,GoldenRatio,0.0008389949798583
Interval,GoldenRatio,0.0011799335479736
Interval,GoldenRatio,0.0012097358703613
Interval,GoldenRatio,0.0010621547698974
Interval,GoldenRatio,0.001023530960083
Interval,GoldenRatio,0.0009162425994873
Interval,GoldenRatio,0.0009033679962158
Interval,GoldenRatio,0.0013110637664794
Interval,GoldenRatio,0.0011923313140869
Interval,GoldenRatio,0.0011913776397705
Interval,GoldenRatio,0.0016162395477294
Interval,GoldenRatio,0.0014243125915527
Interval,GoldenRatio,0.001422643661499
Interval,GoldenRatio,0.0012838840484619
Interval,GoldenRatio,0.0011746883392333
Interval,GoldenRatio,0.0015301704406738
Interval,GoldenRatio,0.0015077590942382
Interval,GoldenRatio,0.001556396484375
Interval,GoldenRatio,0.0005006790161132
Interval,GoldenRatio,0.0004537105560302
Interval,GoldenRatio,0.0004467964172363
