Optimization Type,Method,Time
Interval,GoldenRatio,0.0005609989166259
Interval,GoldenRatio,0.0005280971527099
Interval,GoldenRatio,0.0008680820465087
Interval,GoldenRatio,0.0008525848388671
Interval,GoldenRatio,0.0008411407470703
Interval,GoldenRatio,0.0011563301086425
Interval,GoldenRatio,0.0009975433349609
Interval,GoldenRatio,0.0010333061218261
Interval,GoldenRatio,0.0008387565612792
Interval,GoldenRatio,0.0008203983306884
Interval,GoldenRatio,0.0008485317230224
Point,Gradient,0.0014472007751464
Point,Gradient,0.0016298294067382
Point,Gradient,0.0014369487762451
Point,Gradient,0.0013957023620605
Point,Gradient,0.0014169216156005
Point,Gradient,0.0013220310211181
Point,Gradient,0.0017304420471191
Point,Gradient,0.0017066001892089
Point,Gradient,0.0017685890197753
Point,Gradient,0.0013272762298583
Point,Gradient,0.0013437271118164
Point,Gradient,0.0013370513916015
Point,Gradient,0.0016036033630371
Point,Gradient,0.0015869140625
Point,Gradient,0.0015861988067626
Point,Gradient,0.0014925003051757
Point,Gradient,0.0017635822296142
Point,Gradient,0.0023214817047119
Point,Gradient,0.0024874210357666
Point,Gradient,0.002476692199707
Point,Gradient,0.0021121501922607
Point,Gradient,0.0020656585693359
Point,Gradient,0.0020976066589355
Point,Gradient,0.0021555423736572
Point,Gradient,0.0033888816833496
Point,Gradient,0.0027427673339843
Point,Gradient,0.0027415752410888
Point,Gradient,0.0026030540466308
Point,Gradient,0.0025925636291503
Point,Gradient,0.0026917457580566
Point,Gradient,0.0029082298278808
Point,Gradient,0.0028278827667236
Point,Gradient,0.0029230117797851
Point,Gradient,0.0010428428649902
Point,Gradient,0.0010349750518798
Point,Gradient,0.0011343955993652
Point,Gradient,0.001652717590332
Point,Gradient,0.0016260147094726
Point,Gradient,0.0014317035675048
Point,Gradient,0.0103363990783691
Point,Gradient,0.0102694034576416
Point,Gradient,0.0027263164520263
Point,Gradient,0.0025746822357177
Point,Gradient,0.0027077198028564
Point,Gradient,0.003274917602539
Point,Gradient,0.0032069683074951
Point,Gradient,0.0107746124267578
Point,Gradient,0.0106785297393798
Point,Newton,0.0051085948944091
Point,Newton,0.0017018318176269
Point,Newton,0.0017359256744384
Point,Newton,0.0023431777954101
Point,Newton,0.0017850399017333
Point,Newton,0.001697301864624
Point,Newton,0.0042321681976318
Point,Newton,0.0016760826110839
Point,Newton,0.0018162727355957
Point,Newton,0.0023078918457031
Point,Newton,0.0015702247619628
Point,Newton,0.0016226768493652
Point,Newton,0.0045151710510253
Point,Newton,0.001866340637207
Point,Newton,0.0018577575683593
Point,Newton,0.0017156600952148
Point,Newton,0.0017304420471191
Point,Newton,0.0080430507659912
Point,Newton,0.0022065639495849
Point,Newton,0.0068786144256591
Point,Newton,0.0024445056915283
Point,Newton,0.0051956176757812
Point,Newton,0.0022242069244384
Point,Newton,0.0022621154785156
Point,Newton,0.0081317424774169
Point,Newton,0.0023961067199707
Point,Newton,0.0103590488433837
Point,Newton,0.0035367012023925
Point,Newton,0.0034494400024414
Point,Newton,0.0077226161956787
Point,Newton,0.0029716491699218
Point,Newton,0.0028603076934814
Point,Newton,0.0107970237731933
Point,Newton,0.0029871463775634
Point,Newton,0.0030217170715332
Point,Newton,0.0053663253784179
Point,Newton,0.0020780563354492
Point,Newton,0.0019266605377197
Point,Newton,0.0073523521423339
Point,Newton,0.0024325847625732
Point,Newton,0.0023388862609863
Point,Newton,0.0104181766510009
Point,Newton,0.0030782222747802
Point,Newton,0.0028464794158935
Point,Newton,0.0177297592163085
Point,Newton,0.0049514770507812
Point,Newton,0.0050044059753417
Point,Newton,0.0028989315032958
Point,Random,0.000795841217041
Point,Random,0.0008885860443115
Point,Random,0.0008220672607421
Point,Random,0.0008251667022705
Point,Random,0.0008075237274169
Point,Random,0.0007858276367187
Point,Random,0.0008933544158935
Point,Random,0.0008997917175292
Point,Random,0.0009751319885253
Point,Random,0.0007984638214111
Point,Random,0.0008728504180908
Point,Random,0.0007152557373046
Point,Random,0.0011231899261474
Point,Random,0.0009572505950927
Point,Random,0.0009553432464599
Point,Random,0.0007901191711425
Point,Random,0.0008103847503662
Point,Random,0.0008203983306884
Point,Random,0.0010395050048828
Point,Random,0.0010406970977783
Point,Random,0.0010468959808349
Point,Random,0.0012910366058349
Point,Random,0.0009770393371582
Point,Random,0.0009627342224121
Point,Random,0.0008904933929443
Point,Random,0.0008976459503173
Point,Random,0.001002550125122
Point,Random,0.0010616779327392
Point,Random,0.0010592937469482
Point,Random,0.0012004375457763
Point,Random,0.0011029243469238
Point,Random,0.001103401184082
Point,Random,0.0022094249725341
Point,Random,0.0014114379882812
Point,Random,0.0014045238494873
Point,Random,0.0014064311981201
Point,Random,0.0012176036834716
Point,Random,0.0011889934539794
Point,Random,0.0013937950134277
Point,Random,0.0013854503631591
Point,Random,0.0012953281402587
Point,Random,0.0012576580047607
Point,Random,0.0004589557647705
Point,Random,0.0004887580871582
Point,Random,0.000450849533081
Point,Random,0.0009138584136962
Point,Random,0.0007178783416748
Point,Random,0.0007200241088867
Point,Random,0.0004794597625732
Point,Random,0.0005562305450439
Point,Random,0.0005443096160888
Point,Random,0.0009152889251708
Point,Random,0.0008842945098876
Point,Random,0.0008525848388671
Point,Random,0.0010561943054199
Point,Random,0.0009715557098388
Point,Random,0.0014288425445556
Point,Random,0.0010871887207031
Point,Random,0.0008938312530517
